row_key,study_no,row_no,country,platform,period,measure,unit,group_label,our_value,our_construct,our_denominator,our_quote,your_verdict,your_value,your_share_of,your_quote,your_construct,your_note,study_extra
2-s2.0-85089622030#106,41,1,Italy,multi_platform,31 Dec 2019 - 30 Apr 2020,% of total shares (across reviewed articles) that are fake news; content-N basis,url,,23.1,SHARING,"total shares of all 2,102 reviewed COVID-19 keyword articles (fake + verified)","Links that contained fake news were shared 2,352,585 times, accounting for about 23.1% of the total shares of all the articles reviewed.",CORRECT,,,,,,
2-s2.0-105017599346#519,42,1,United States,Facebook,2017-01/2020-12,"% of engagement directed at low-quality domains (engagement-share, SHARING; was mis-coded EXPOSURE)",url,,25,SHARING,,"In Fig. 5F we show the change in the proportion of engagement directed at low-quality domains (quality bin lower than the bin centered at 0.58 in Fig. 1), which ﬂuctuates around 20% and 30%.",WRONG VALUE,fluctuating around 20% and 30%,,,,,
2-s2.0-85074511992#322,43,1,France,Twitter/X,13-19 March 2017,"share of all classified shared web-sources that are junk news (content-of-diet, source-coded)",url,,4.2,SHARING,all classified web sources shared in election-related tweets (France),"Junk News and Information 366 4.2 (France, Table 3)",CORRECT,,,,,,
2-s2.0-85074511992#323,43,2,United Kingdom,Twitter/X,27 May-2 June 2017,"share of all classified shared web-sources that are junk news (content-of-diet, source-coded)",url,,10.3,SHARING,all classified web sources shared in election-related tweets (UK),Junk News and Information account for 10.3% of all content shared,CORRECT,,,,,,
2-s2.0-85074511992#324,43,3,Germany,Twitter/X,1-10 September 2017,"share of all classified shared web-sources that are junk news (content-of-diet, source-coded)",url,,9.1,SHARING,all classified web sources shared in election-related tweets (Germany),"Junk News and Information 1055 9.1 (Germany, Table 3)",CORRECT,,,,,,
2-s2.0-105021775752#458,44,1,United States,Twitter/X,"March 2-22, 2020",% of shared news sources that are 'problematic',url,,16,SHARING,"all news sources shared (~1 million links) in political-keyword Twitter, March 2020","In March 2020, the share of problematic news sources shared on Twitter was 16% of all shared news sources.",CORRECT,,,,,,
2-s2.0-105021775752#459,44,2,United States,Twitter/X,Dec 24 2020 - Jan 4 2021,% of shared news sources that are 'problematic',url,,30,SHARING,"all news sources shared in political-keyword Twitter, Dec 2020-Jan 2021","In December, the share of problematic news sources almost doubled to 30%.",CORRECT,,,,,,
2-s2.0-105021775752#460,44,3,United States,Twitter/X,"March 10-22, 2021",% of shared news sources that are 'problematic',url,,11,SHARING,"all news sources shared in political-keyword Twitter, March 2021 (post-Capitol-purge)","In March 2021, the share of problematic sources dropped significantly to 11%.",CORRECT,,,,,,
2-s2.0-85142396682#418,45,1,United States,Twitter/X,Jan 2016 - Mar 2022,% of posted links pointing to untrustworthy domains (observed actor sharing); links/tweets,url,,3.86,SHARING,"all NewsGuard-rated links posted by US Republican members of Congress, 2016-2022 (US corpus 1,694,403 tweets; NewsGuard covers 46.5% of links)","Republicans share 9.1 times more links to websites considered unstrustworthy than Democrats (Republicans 3.86%, Democrats 0.43%, difference 3.44%, 1.65 SD)",CORRECT,,,,,,
2-s2.0-85142396682#419,45,2,United States,Twitter/X,Jan 2016 - Mar 2022,% of posted links pointing to untrustworthy domains (observed actor sharing); links/tweets,url,,0.43,SHARING,"all NewsGuard-rated links posted by US Democratic members of Congress, 2016-2022","Republicans 3.86%, Democrats 0.43%, difference 3.44%, 1.65 SD",CORRECT,,,,,,
2-s2.0-85142396682#420,45,3,Germany,Twitter/X,Jan 2016 - Mar 2022,% of posted links pointing to untrustworthy domains (observed actor sharing); links/tweets,url,,0.18,SHARING,"all NewsGuard-rated links posted by German CDU/CSU parliamentarians, 2016-2022 (DE corpus 754,233 tweets)","For Germany, members of the CDU/CSU post 6.3 times more links to such websites than members of the SPD (CDU/CSU 0.18%, SPD 0.03%, difference 0.15%, 0.04 SD)",CORRECT,,,,,,
2-s2.0-85142396682#421,45,4,Germany,Twitter/X,Jan 2016 - Mar 2022,% of posted links pointing to untrustworthy domains (observed actor sharing); links/tweets,url,,0.03,SHARING,"all NewsGuard-rated links posted by German SPD parliamentarians, 2016-2022","CDU/CSU 0.18%, SPD 0.03%, difference 0.15%, 0.04 SD",CORRECT,,,,,,
2-s2.0-85142396682#422,45,5,United Kingdom,Twitter/X,Jan 2016 - Mar 2022,% of posted links pointing to untrustworthy domains (observed actor sharing); links/tweets,url,,0.25,SHARING,"all NewsGuard-rated links posted by UK Conservative parliamentarians, 2016-2022 (UK corpus 960,114 tweets)","members of the Tories post 4.7 times more links to untrustworthy domains than members of the Labour Party (Tory 0.25%, Labour 0.05%, difference 0.19%, 0.08 SD)",CORRECT,,,,,,
2-s2.0-85142396682#423,45,6,United Kingdom,Twitter/X,Jan 2016 - Mar 2022,% of posted links pointing to untrustworthy domains (observed actor sharing); links/tweets,url,,0.05,SHARING,"all NewsGuard-rated links posted by UK Labour parliamentarians, 2016-2022","Tory 0.25%, Labour 0.05%, difference 0.19%, 0.08 SD",CORRECT,,,,,,
2-s2.0-85105511315#393,46,1,Global,Twitter/X,1 Jan - 31 Oct 2020,% of credibility-rated content links that are low-credibility (mean ratio; n=content links),url,,32,SHARING,low- plus high-credibility content links (tweets+retweets); not whole diet,Twitter exhibits a higher ratio of low-credibility information than Facebook (32% vs. 21% on average),CORRECT,,,,,,
2-s2.0-85105511315#394,46,2,Global,Facebook,1 Jan - 31 Oct 2020,% of credibility-rated content links that are low-credibility (mean ratio; n=content links),url,,21,SHARING,low- plus high-credibility content links (posts+reshares); not whole diet,Twitter exhibits a higher ratio of low-credibility information than Facebook (32% vs. 21% on average),CORRECT,,,,,,
2-s2.0-85188806397#374,47,1,United States,Twitter/X,27 Oct-3 Nov 2020,"% of NewsGuard-classified news URLs that are untrustworthy, swing-state tweets (URL-N)",url,,26.06,SHARING,"NewsGuard-classified (trustworthy T + untrustworthy N) news URLs in swing-state tweets, validated dataset","When looking at links pointing to untrustworthy news sites (N), the concentration for swing states - 26.06%. - is higher than for safe states - 22.25%",CORRECT,,,,,,
2-s2.0-85188806397#375,47,2,United States,Twitter/X,27 Oct-3 Nov 2020,"% of NewsGuard-classified news URLs that are untrustworthy, safe-state tweets (URL-N)",url,,22.25,SHARING,"NewsGuard-classified (trustworthy T + untrustworthy N) news URLs in safe-state tweets, validated dataset",for safe states - 22.25%. The concentration of trustworthy links (T) is higher for safe states - 50.66% vs 28.30% for swing states,CORRECT,,,,,,
2-s2.0-85164694763#358,48,1,Multi-country,Twitter/X,,low-credibility share of domains shared by no-vax communities,url,,26,SHARING,"Domains/URLs shared by no-vax community users (28 countries, 11 languages)",26% of the domains shared by no-vax communities came from lists of known low-credibility domains versus only 2.4% of those cited by the other users (P<.001),CORRECT,,,,,,
2-s2.0-85164694763#359,48,2,Multi-country,Twitter/X,,"low-credibility share of domains cited by rest-of-network (""other users"")",url,,2.4,SHARING,Domains/URLs shared by non-no-vax (other) users,26% of the domains shared by no-vax communities ... versus only 2.4% of those cited by the other users (P<.001),CORRECT,,,,,,
2-s2.0-85095594211#34,49,1,Global,Facebook,Apr 2020,"% of total shares going to misleading articles (sharing-share; n=30 articles / [n],160 shares)",item,,36,SHARING,total shares of the top 30 COVID-19 prevention articles,the percentage of their shares reached 36% (n = 1 765 889) of total number of shares (n = 4 904 160) on social media,CORRECT,,,,,,"CONTENT: 
- 20% of articles were found to be misleading
share of: top shared articles (sampling through top shared articles) "
W4306964957#117,50,1,Brazil,Twitter/X,2018-2020,share of posts that are misinfo (text-based; content-N),item,,0.0104,SHARING,"4,032,907 posts by 945 politicians 2018-2020","Using our text-based approach, about 0.01% (421) of politicians' posts contain false stories ... [Table 2] Text 0.0104",CORRECT,,,,,text-based approach,"SHARING: 0.0009% 
Note: using the Facebook URL approach
Share of: posts by politicians
""in Table 2""

SHARING: 0.9694% 
Share of: posts by politicians
Note: Overall estimate
""Overall, using at least one of the methods employed (text, domain, Facebook URL), we detect false content in 0.9694% of posts, and these 0.9694% of posts represent about 1.4197% of all the online engagement to politicians’ posts in the period analyzed."""
W4306964957#118,50,2,Brazil,Twitter/X,2018-2020,share of posts that are misinfo (domain-based; content-N),url,,0.9595,SHARING,"4,032,907 posts by 945 politicians 2018-2020",The domain-based approach suggests a much larger share of posts containing misinformation (0.96%) ... [Table 2] Domain 0.9595,CORRECT,,,,,domain-based approach,"SHARING: 0.0009% 
Note: using the Facebook URL approach
Share of: posts by politicians
""in Table 2""

SHARING: 0.9694% 
Share of: posts by politicians
Note: Overall estimate
""Overall, using at least one of the methods employed (text, domain, Facebook URL), we detect false content in 0.9694% of posts, and these 0.9694% of posts represent about 1.4197% of all the online engagement to politicians’ posts in the period analyzed."""
2-s2.0-85088969117#339,51,1,Global,Twitter/X,6-7 Feb 2020,% of retweets that are false news; share of shares,item,,52.31,SHARING,390 retweets in the Twitter sample (categorized RT),There were more retweets of false-information on Twitter (52.31%) than Weibo reposts (0.09%) coded under this category,CORRECT,,,,,,"CONTENT: 
- 3.69% 
share of: posts on Weibo through keyworrd search
""Regarding extracted posts, on Weibo, the majority belonged under the
category of “Facts” (20.54%), followed by “Mixed” (5.04%), “False News”
(3.69%), “Science based evidence” (2.13%), “Fact Checking” (1.66%) and
“Emerging evidence” (1.30%).""


CONTENT: 
- 9.20%  
share of: Tweets through keyword search
""On Twitter, most posts belonged under the category of “Facts” (27.20%), followed by “False news” (9.20%), “Science based evidence” (3.85%), “Mixed” (1.51%), “Fact Checking” (0.99%) and “Emerging evidence” (0.05%)."""
2-s2.0-85088969117#340,51,2,China,other,6-7 Feb 2020,% of reposts that are false news; share of shares,item,,0.09,SHARING,"31,009 Weibo reposts",more retweets of false-information on Twitter (52.31%) than Weibo reposts (0.09%) coded under this category,CORRECT,,,,,,"CONTENT: 
- 3.69% 
share of: posts on Weibo through keyworrd search
""Regarding extracted posts, on Weibo, the majority belonged under the
category of “Facts” (20.54%), followed by “Mixed” (5.04%), “False News”
(3.69%), “Science based evidence” (2.13%), “Fact Checking” (1.66%) and
“Emerging evidence” (1.30%).""


CONTENT: 
- 9.20%  
share of: Tweets through keyword search
""On Twitter, most posts belonged under the category of “Facts” (27.20%), followed by “False news” (9.20%), “Science based evidence” (3.85%), “Mixed” (1.51%), “Fact Checking” (0.99%) and “Emerging evidence” (0.05%)."""
2-s2.0-85100218180#388,52,1,United States,Twitter/X,16 Jan - 15 Apr 2020,"LQMS share of all URL links shared in COVID-19 tweets (links; [n]M tweets/RTs/quotes, [n]M with URLs)",url,,2.7,SHARING,"all URL links shared in COVID-19-hashtag tweets/retweets/quotes (the ~7,275,642 URL-bearing items of 67,602,036 total)","links to TNS comprise over 20% of links in our dataset, while LQMS represent 2.7% and HQHS account for 1.8%",CORRECT,,,,,,"SHARING: 
- 0.83% contain low-quality/fake news about Covid-19
Share of: All tweets in their dataset
- 0.19%  contain low-quality/fake news about Covid-19
Share of: All retweets in their dataset
""Finally, low-quality/fake news sources (LQMS) account for 0.83% of original tweets and 0.19% of retweets."""
2-s2.0-85199110625#514,53,1,Italy,Facebook,2019-12 to 2020-08,"% Non-Trustworthy news in Diffusion - Facebook shares ([n],099/[n],742)",url,,8.48,SHARING,,"Reliable 330 1, 956, 941 121, 108, 643 1, 302, 008 6, 291, 579 ... Non-Trustworthy 81 155, 737 11, 225, 099 108, 703 2, 102, 646",CORRECT,,,,,shares,"Not their own data. 

CONTENT
= Supply -> Posts, Tweets from the news outlets + sources themselves 
- 19.7%. (sources)
- 7.37% (posts)
- 7.7% (tweets)

SHARING
= Diffusion -> Shares, Retweets from the posts and tweets 
- 8.48% (shares)
- 25.04% (retweets)

share of: sources, posts, tweets, shares and retweets of the whole dataset that are non-trustworthy 

see table 2

"
2-s2.0-85199110625#515,53,2,Italy,Twitter/X,2019-12 to 2020-08,"% Non-Trustworthy news in Diffusion - Twitter retweets ([n],646/[n],225)",url,,25.05,SHARING,,"Reliable 330 1, 956, 941 121, 108, 643 1, 302, 008 6, 291, 579 ... Non-Trustworthy 81 155, 737 11, 225, 099 108, 703 2, 102, 646",CANNOT FIND,,,,,I calculated all the shares and I never got the same result - maybe share of sources ,"Not their own data. 

CONTENT
= Supply -> Posts, Tweets from the news outlets + sources themselves 
- 19.7%. (sources)
- 7.37% (posts)
- 7.7% (tweets)

SHARING
= Diffusion -> Shares, Retweets from the posts and tweets 
- 8.48% (shares)
- 25.04% (retweets)

share of: sources, posts, tweets, shares and retweets of the whole dataset that are non-trustworthy 

see table 2

"
2-s2.0-85069463611#344,54,1,Brazil,WhatsApp,16 Aug - 7 Oct 2018,share of message-shares (incl. duplicates) that are fact-checked fake,item,,0.96,SHARING,"59,979 filtered textual messages (>180 chars), including duplicates/reposts, in 364 groups",This process led to the identification of 69 distinct textual messages containing previously checked misinformation. These messages were shared 578 times in our dataset.,CORRECT,,,,,,
2-s2.0-85066894147#336,55,1,United States,Twitter/X,Aug-Sep 2016 (after nominations),fraction of candidate-mentioning news-URL shares from fake-news publishers (after nominations),url,,30,SHARING,candidate-mentioning tweets containing an external news URL (daily uniformly-random sample; f = fake-URL shares / (fake + traditional URL shares)),"While the average fraction of fake news content is about 20% before the conventions, it lies at ≈ 30% after the nominations and reaches ≈ 40% right before the election.",CORRECT,,,,CONTENT,,
2-s2.0-85066894147#664,55,2,United States,Twitter/X,Jul-early Aug 2016 (before conventions),fraction of candidate-mentioning news-URL shares from fake-news publishers (before conventions),url,,20,SHARING,candidate-mentioning tweets containing an external news URL (daily uniformly-random sample; f = fake-URL shares / (fake + traditional URL shares)),"While the average fraction of fake news content is about 20% before the conventions, it lies at ≈ 30% after the nominations and reaches ≈ 40% right before the election.",CORRECT,,,,CONTENT,,
2-s2.0-85066894147#665,55,3,United States,Twitter/X,late Oct-early Nov 2016 (right before election),fraction of candidate-mentioning news-URL shares from fake-news publishers (right before election),url,,40,SHARING,candidate-mentioning tweets containing an external news URL (daily uniformly-random sample; f = fake-URL shares / (fake + traditional URL shares)),"While the average fraction of fake news content is about 20% before the conventions, it lies at ≈ 30% after the nominations and reaches ≈ 40% right before the election.",CORRECT,,,,CONTENT,,
2-s2.0-85066887935#335,56,1,Brazil,WhatsApp,21 Sep - 20 Oct 2018,% junk-news links among all classified links shared (content/links; 130 groups),url,,13.1,SHARING,"38,800 classified links shared in 130 public political WhatsApp groups (neutral: all shared links, not selected by misinfo)",junk news sources account for 13.1% of all links in our dataset (see Table 1).,CORRECT,,,,,,
2-s2.0-85091698994#341,57,1,Italy,Twitter/X,16 Nov - 16 Dec 2019,% of news-link tweets from disinformation sources; % of content items,url,,14.39,SHARING,"692,032 news-link tweets (99,569 disinfo + 592,463 mainstream), 16/11-16/12/2019","the amount of misleading and potentially harmful information is small yet not negligible compared to mainstream news, with approximately 15% of the total share of news in Italy and 10% in France.",CORRECT,,,,,,
2-s2.0-85091698994#342,57,2,France,Twitter/X,25 Nov - 25 Dec 2019,% of news-link tweets from disinformation sources; % of content items,url,,10.42,SHARING,"2,372,954 news-link tweets (247,173 disinfo + 2,125,781 mainstream), 25/11-25/12/2019","the amount of misleading and potentially harmful information is small yet not negligible compared to mainstream news, with approximately 15% of the total share of news in Italy and 10% in France.",CORRECT,,,,,,
2-s2.0-105029521599#215,58,1,United States,Facebook,2020-2021,% of posts linking to low-fact domains (observed sharing share); content-N + actor-N,item,,0.68,SHARING,"464,019 Facebook posts from 4,787 state legislators (2020-2021)",Percentage of Low-fact Posts in total: 0.68%,CORRECT,,,,,,
2-s2.0-85095575703#508,59,1,France,Facebook,2016-10/2017-05,% of shared content from unreliable sources (100-[n] reliable; SHARING),url,,13.94,SHARING,,"It appears that 86.06 % (114,679) of the content shared within our sample set has been shared from reliable sources (Table 2).",CORRECT,,,,,,
2-s2.0-85213958624#516,60,1,United States,Facebook,2020-07-01/2021-02-01,% of conversation cascades labeled misinformation (~[n] trees; SHARING),item,,0.94,SHARING,,"In total, N ∼ 114, 000 trees are labeled as misinformation. Note that only a very small number of fact-checked trees (N ∼ 2, 000) are labeled true. ... Likewise, the number of unlabeled trees is N ∼ 12 M, which means that we are likely underestimating the prevalence of misinformation on the platform (to the degree that it goes unnoticed by the 3PFC program).",CORRECT,,,,,12`000`000/114`000,
2-s2.0-105027856675#434,61,1,Germany,Twitter/X,2020-2021,share of politician news-link tweets that are misinfo (content-N tweets),item,,1.49,SHARING,68871 NewsGuard-matched politician news-link tweets (DE),"DE ... 68,871 ... 1027",CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-105027856675#435,61,2,Italy,Twitter/X,2020-2021,share of politician news-link tweets that are misinfo (content-N tweets),item,,9.46,SHARING,62212 NewsGuard-matched politician news-link tweets (IT),"IT ... 62,212 ... 5888",CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-105027856675#436,61,3,United Kingdom,Twitter/X,2020-2021,share of politician news-link tweets that are misinfo (content-N tweets),item,,0.33,SHARING,116354 NewsGuard-matched politician news-link tweets (UK),"UK ... 116,354 ... 380",CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-105027856675#437,61,4,United States,Twitter/X,2020-2021,share of politician news-link tweets that are misinfo (content-N tweets),item,,2.30,SHARING,163910 NewsGuard-matched politician news-link tweets (US),"US ... 163,910 ... 3,767 ... Domains with a score below 60 are considered misinformation",CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-105027856675#635,61,5,Italy,Twitter/X,2020-2021,country per-politician-mean misinfo-sharing rate (Italy),url,,4.9,SHARING,mean across Italy politicians of each politician's misinfo-share ratio,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).,CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-105027856675#636,61,6,United States,Twitter/X,2020-2021,country per-politician-mean misinfo-sharing rate (USA),url,,2.2,SHARING,mean across USA politicians of each politician's misinfo-share ratio,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).,CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-105027856675#637,61,7,Germany,Twitter/X,2020-2021,country per-politician-mean misinfo-sharing rate (Germany),url,,1.1,SHARING,mean across Germany politicians of each politician's misinfo-share ratio,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).,CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-105027856675#638,61,8,United Kingdom,Twitter/X,2020-2021,country per-politician-mean misinfo-sharing rate (UK),url,,0.4,SHARING,mean across UK politicians of each politician's misinfo-share ratio,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).,CORRECT,,,,,,"two different results seem to answer the same question, but it is actually across country vs. within country rate (for each user)"
2-s2.0-85074596916#67,62,1,United States,Twitter/X,1-9 Nov 2016,"% of all categorized political-hashtag URLs shared that link to junk-news sources, 2016 election (SHARING; n=[n],760 categorized tweets/URLs, 710 sources)",url,,17.4,SHARING,"all 2,792,760 categorized URLs/tweets shared under 2016 election hashtags (all content buckets, incl. non-news)","Junk News and Information 486,446 17.4 [Table 2, US Presidential Election]",CORRECT,,,,,,
2-s2.0-85074596916#68,62,2,United States,Twitter/X,24-30 Jan 2018,"% of all categorized political-hashtag URLs shared that link to junk-news sources, 2018 SOTU (SHARING; n=[n] categorized tweets/URLs)",url,,18.1,SHARING,"all 116,380 categorized URLs/tweets shared under 2018 SOTU hashtags (all content buckets)","Junk News and Information ... 21,071 ... 18.1 [Table 2, State of the Union]",CORRECT,,,,,,
W4205602257#143,63,1,United States,Twitter/X,Jan-Sep 2020,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = [n],989 tweets-with-URL; [n]M-voter panel, [n] COVID-tweeters)",url,,1.1,SHARING,"7,062,989 COVID-19 tweets containing at least one URL (panel of 1.6M registered voters)",URLs from domains that publish fake news only comprise 1.1% of the URLs from COVID-19 tweets,CORRECT,,,,,,
W4205602257#144,63,2,United States,Twitter/X,Jan-Sep 2020,"share of shared COVID-19 URLs from fake-news domains, incl. orange tier (content-N = [n],989 tweets-with-URL)",url,,1.8,SHARING,"7,062,989 COVID-19 tweets containing at least one URL","if we include web domains rated as orange in our fake news classification system, the percentage of shared fake news URLs increases to 1.8%",CORRECT,,,,,,
2-s2.0-85194880315#172,64,1,Russia,multi_platform,Apr-May 2023,recall-exposure (self-report); n=participants,person,,51,RECALL,"1000 surveyed residents, Republic of Mordovia (quota sample)","Каждый второй (51 %) сталкивался с ними не менее нескольких раз в месяц, в том числе 15 % – практически ежедневно",CORRECT,,,,,,3/10 and 2/10
2-s2.0-85194880315#173,64,2,Russia,multi_platform,Apr-May 2023,recall-sharing (self-report); n=participants,person,,23,RECALL,"1000 surveyed residents, Republic of Mordovia (quota sample)","каждый третий опрошенный (32 %) за последний год верил фейкам, а ещё четверть (23 %) делились подобного рода информацией",CORRECT,,,,,,3/10 and 2/10
OA-W4407797130#308,65,1,Serbia,survey,June 2023,recall-exposure: % self-reported having heard the narrative,person,,77.4,RECALL,"800 national-sample respondents (Serbia, aged 18-74, online, quota by sex/age/region, MoE ±3.5%)",Narrative N6 that states that COVID-19 pandemic was artificially caused by the West is the highest reaching narrative,CORRECT,,,,,,"RECALL:
N1: 44.8%
N3: 48.1%
N6: 85.1%

Share of: survey respondents who heard of the narrative

From Figure 1


The 7 narratives: N1 Russian economic assistance to Serbia is larger than the support from the
EU.
N2 The Pentagon (USA) has admitted to have 46 biolaboratories in Ukraine.
N3 Western countries are removing cultural artefacts related to Russia.
N4 George Soros and other rich people from the West are controlling the
world’s economy and politics.
N5 The word Serb (Srbin) has Sanskrit origin which shows that Serbs are one
of the oldest nations.
N6 COVID-19 pandemic was artificially caused by the West.
N7 United Nations call for the decriminalization of paedophilia and promotes
gay and lesbian culture."
OA-W4407797130#309,65,2,Serbia,survey,June 2023,recall-exposure: % self-reported having heard the narrative,person,,37.1,RECALL,800 national-sample respondents (Serbia),even the least heard narrative (N2) still reaching a third of the survey population,CORRECT,,,,,,"RECALL:
N1: 44.8%
N3: 48.1%
N6: 85.1%

Share of: survey respondents who heard of the narrative

From Figure 1


The 7 narratives: N1 Russian economic assistance to Serbia is larger than the support from the
EU.
N2 The Pentagon (USA) has admitted to have 46 biolaboratories in Ukraine.
N3 Western countries are removing cultural artefacts related to Russia.
N4 George Soros and other rich people from the West are controlling the
world’s economy and politics.
N5 The word Serb (Srbin) has Sanskrit origin which shows that Serbs are one
of the oldest nations.
N6 COVID-19 pandemic was artificially caused by the West.
N7 United Nations call for the decriminalization of paedophilia and promotes
gay and lesbian culture."
OA-W4407797130#659,65,3,Serbia,survey,June 2023,recall-exposure: % heard narrative N3 (Western removing Russian artefacts),person,,63.4,RECALL,"800 national-sample respondents (Serbia, aged 18-74, online, quota by sex/age/region, MoE ±3.5%)",Narrative N6 that states that COVID-19 pandemic was artificially caused by the West is the highest reaching narrative,CORRECT,,,,,,"RECALL:
N1: 44.8%
N3: 48.1%
N6: 85.1%

Share of: survey respondents who heard of the narrative

From Figure 1


The 7 narratives: N1 Russian economic assistance to Serbia is larger than the support from the
EU.
N2 The Pentagon (USA) has admitted to have 46 biolaboratories in Ukraine.
N3 Western countries are removing cultural artefacts related to Russia.
N4 George Soros and other rich people from the West are controlling the
world’s economy and politics.
N5 The word Serb (Srbin) has Sanskrit origin which shows that Serbs are one
of the oldest nations.
N6 COVID-19 pandemic was artificially caused by the West.
N7 United Nations call for the decriminalization of paedophilia and promotes
gay and lesbian culture."
OA-W4407797130#660,65,4,Serbia,survey,June 2023,recall-exposure: % heard narrative N5 (Sanskrit origin of 'Serb'),person,,50.1,RECALL,"800 national-sample respondents (Serbia, aged 18-74, online, quota by sex/age/region, MoE ±3.5%)",Narrative N6 that states that COVID-19 pandemic was artificially caused by the West is the highest reaching narrative,CORRECT,,,,,,"RECALL:
N1: 44.8%
N3: 48.1%
N6: 85.1%

Share of: survey respondents who heard of the narrative

From Figure 1


The 7 narratives: N1 Russian economic assistance to Serbia is larger than the support from the
EU.
N2 The Pentagon (USA) has admitted to have 46 biolaboratories in Ukraine.
N3 Western countries are removing cultural artefacts related to Russia.
N4 George Soros and other rich people from the West are controlling the
world’s economy and politics.
N5 The word Serb (Srbin) has Sanskrit origin which shows that Serbs are one
of the oldest nations.
N6 COVID-19 pandemic was artificially caused by the West.
N7 United Nations call for the decriminalization of paedophilia and promotes
gay and lesbian culture."
2-s2.0-85085573221#153,66,1,India,survey,24 Mar - 10 Apr 2020,recall-exposure: recall_received_misinfo (# participants),person,,68.2,RECALL,758 healthcare-professional survey participants,A total of 517 (68.2%) participants accepted receiving misinformation.,CORRECT,,,,,,
NEW-moreno-jmirderma#627,67,1,United States,Facebook,2017,self-reported recall of seeing tanning-Vitamin-D misinfo posts (at-risk sample),person,,43,RECALL,46 interviewed White non-Hispanic women aged 16-23 who had recently tanned indoors,"Approximately half (20/46, 43%) of participants reported seeing social media posts from tanning salons about Vitamin D",CORRECT,,,,,,"CONTENT: 
1.3+0.6+0.6+0.5+0.06+0.14+0.8+0.14=4.14%
share of: facebook posts from tanning salons containing one of 8 misinformation narratives"
2-s2.0-85181200454#476,68,1,Multi-country,other,Jan-Feb 2021 (last-week recall),"recall-exposure: perceived (self-report saw false/misleading info, last week) [% of respondents]",person,,53.9,RECALL,"online news users across 46 countries (DNR 2021, representative of online populations)",Affirmative answers were summed to create binary measures that measured PME to information related to the COVID (Yes = 53.9%; Norway = 29.8% to Columbia = 72.3%),CORRECT,,,,,,"RECALL: 
- 29.8% 
share of survey respondents from Norway having heard of misinformation related to Covid
- 72.3%
share of survey respondents from Columbia having heard misinformation related to Covid
- 19.9%
share of survey respondents from Denmark having heard misinformation related to politics
- 63.4%
share of survey respondents from Denmark having heard misinformation related to politics

Affirmative answers were summed to create binary measures that measured PME to information related to the COVID (Yes = 53.9%; Norway = 29.8% to Columbia = 72.3%) and politics (Yes = 43.1%; Denmark = 19.9% to Kenya = 63.4%)."
2-s2.0-85181200454#477,68,2,Multi-country,other,Jan-Feb 2021 (last-week recall),"recall-exposure: perceived (self-report saw false/misleading info, last week) [% of respondents]",person,,43.1,RECALL,"online news users across 46 countries (DNR 2021, representative of online populations)",and politics (Yes = 43.1%; Denmark = 19.9% to Kenya = 63.4%),CORRECT,,,,,,"RECALL: 
- 29.8% 
share of survey respondents from Norway having heard of misinformation related to Covid
- 72.3%
share of survey respondents from Columbia having heard misinformation related to Covid
- 19.9%
share of survey respondents from Denmark having heard misinformation related to politics
- 63.4%
share of survey respondents from Denmark having heard misinformation related to politics

Affirmative answers were summed to create binary measures that measured PME to information related to the COVID (Yes = 53.9%; Norway = 29.8% to Columbia = 72.3%) and politics (Yes = 43.1%; Denmark = 19.9% to Kenya = 63.4%)."
2-s2.0-85122105134#404,69,1,Costa Rica,multi_platform,13-19 May 2019,% who self-report having shared news they considered false on social media (n=participants),person,,19,RECALL,805 Costa Rican mobile-phone-owning adults (representative random-stratified national sample),"En el caso de redes sociales, 81% afirmo no haberlo hecho y 19%, si.",CORRECT,,,,,redes sociales ,
2-s2.0-85122105134#405,69,2,Costa Rica,WhatsApp,13-19 May 2019,% who self-report having shared news they considered false via WhatsApp (n=participants),person,,18,RECALL,805 Costa Rican mobile-phone-owning adults (representative random-stratified national sample),El numero es casi identico en el caso de WhatsApp: 18% compartio noticias falsas y 82% afirmo que no.,CORRECT,,,,,Whatsapp,
